SampleID,TrueLabel,PredictedProbability
SRR6704238,0,0.668
SRR6704239,1,0.864
SRR6704240,1,0.82
SRR6704241,0,0.84
SRR6704242,1,0.916
SRR6704243,0,0.936
SRR6704244,0,0.862
SRR6704245,1,0.878
SRR6704246,1,0.772
SRR6704248,1,0.976
SRR6704249,1,0.956
SRR6704250,1,0.94
SRR6704251,1,0.884
SRR6704253,1,0.87
SRR6704254,1,0.854
SRR6704257,1,0.884
SRR6704258,1,0.948
SRR6704259,1,0.962
SRR6704260,1,0.698
SRR6704261,1,0.718
SRR6704262,1,0.73
SRR6704263,1,0.96
SRR6704264,1,0.718
SRR6704265,1,0.862
SRR6704267,1,0.726
SRR6704268,0,0.758
SRR6704269,0,0.852
SRR6704270,1,0.86
SRR6704271,1,0.986
SRR6704272,1,0.928
SRR6704273,1,0.92
SRR6704274,1,0.938
SRR6704275,1,0.956
SRR6704276,0,0.866
SRR6704277,0,0.87
SRR6704278,0,0.784
SRR6704279,1,0.936
SRR6704280,1,0.936
SRR6704281,1,0.882
SRR6704282,0,0.918
SRR6704283,0,0.868
SRR6704284,1,0.806
SRR6704285,1,0.958
SRR6704286,1,0.928
SRR6704287,1,0.872
SRR6704289,1,0.852
SRR6704290,1,0.846
SRR6704291,1,0.86
SRR6704292,1,0.944
SRR6704294,1,0.842
SRR6704295,0,0.88
SRR6704296,0,0.852
SRR6704297,1,0.866
SRR6704298,0,0.872
SRR6704299,0,0.864
SRR6704300,0,0.884
SRR6704301,0,0.864
SRR6704303,0,0.72
SRR6704304,0,0.594
SRR6704305,0,0.576
SRR6704306,0,0.96
SRR6704307,0,0.922
SRR6704308,0,0.594
SRR6704309,0,0.51
SRR6704310,1,0.752
SRR6704311,1,0.942
SRR6704312,1,0.624
SRR6704313,1,0.682
SRR6704314,0,0.956
SRR6704315,0,0.966
SRR6704316,1,0.804
SRR6704317,1,0.83
SRR6704318,1,0.938
SRR6704319,0,0.824
SRR6704320,1,0.936
SRR6704321,1,0.988
SRR6704322,1,0.946
SRR6704323,1,0.948
SRR6704324,1,0.824
SRR6704325,1,0.82
SRR6704326,1,0.908
SRR6704327,1,0.898
SRR6704328,0,0.844
SRR6704329,0,0.84
SRR6704330,0,0.822
SRR6704331,0,0.882
SRR6704332,0,0.94
SRR6704334,1,0.774
SRR6704335,0,0.802
SRR6704338,1,0.86
SRR6704341,1,0.994
SRR6704345,1,0.956
SRR6704346,0,0.834
SRR6704347,1,0.802
SRR6704348,1,0.784
SRR6704350,1,0.902
SRR6704351,1,0.722
SRR6704352,1,0.842
SRR6704353,1,0.956
SRR6704354,1,0.95
SRR6704355,0,0.728
SRR6704356,1,0.932
SRR6704357,1,0.8
SRR6704358,1,0.866
SRR6704359,1,0.948
SRR6704361,1,0.808
SRR6704362,1,0.822
SRR6704368,1,0.84
SRR6704369,0,0.912
SRR6704370,0,0.854
SRR6704371,0,0.902
SRR6704372,0,0.732
SRR6704373,0,0.844
SRR6704374,1,0.81
SRR6704375,1,0.876
SRR6704376,1,0.904
SRR6704377,1,0.686
SRR6704378,1,0.742
SRR6704379,1,0.914
SRR6704380,0,0.724
SRR6704382,1,0.904
SRR6704383,1,0.894
SRR6704384,1,0.772
SRR6704386,1,0.868
SRR6704387,0,0.742
SRR6704389,1,0.918
SRR6704390,1,0.858
SRR6704391,1,0.848
SRR6704392,1,0.796
SRR6704393,1,0.78
SRR6704394,1,0.904
SRR6704396,1,0.888
SRR6704397,1,0.932
SRR6704398,1,0.962
SRR6704400,1,0.802
SRR6704401,1,0.886
SRR6704402,1,0.95
SRR6704403,1,0.842
SRR6704404,1,0.856
SRR6704406,1,0.998
SRR6704407,1,0.834
SRR6704408,1,0.946
SRR6704409,1,0.938
SRR6704412,1,0.914
